19,https://m.media-amazon.com/images/M/MV5BN2RhYzQ2YTUtYzk0Yy00MTc2LThjNDQtNGVkMDkzNzZiYjVhXkEyXkFqcGdeQXVyMTMxODk2OTU@.jpg,Seven Samurai,8.6,1954,279427,Akira Kurosawa,['Takashi Shimura']
20,https://m.media-amazon.com/images/M/MV5BOTUwODM5MTctZjczMi00OTk4LTg3NWUtNmVhMTAzNTNjYjcyXkEyXkFqcGdeQXVyNjU0OTQ0OTY@.jpg,Se7en,8.6,1995,1268398,David Fincher,"['Morgan Freeman', 'Brad Pitt']"
21,https://m.media-amazon.com/images/M/MV5BMGU5OWEwZDItNmNkMC00NzZmLTk1YTctNzVhZTJjM2NlZTVmXkEyXkFqcGdeQXVyMTMxODk2OTU@.jpg,City of God,8.6,2002,636604,Fernando Meirelles,"['Alexandre Rodrigues', 'Leandro Firmino']"
22,https://m.media-amazon.com/images/M/MV5BNzVlY2MwMjktM2E4OS00Y2Y3LWE3ZjctYzhkZGM3YzA1ZWM2XkEyXkFqcGdeQXVyNzkwMjQ5NzM@.jpg,Star Wars: Episode IV - A New Hope,8.6,1977,1107610,George Lucas,"['Mark Hamill', 'Harrison Ford']"
23,https://m.media-amazon.com/images/M/MV5BNjNhZTk0ZmEtNjJhMi00YzFlLWE1MmEtYzM1M2ZmMGMwMTU4XkEyXkFqcGdeQXVyNjU0OTQ0OTY@.jpg,The Silence of the Lambs,8.6,1991,1115943,Jonathan Demme,"['Jodie Foster', 'Anthony Hopkins']"
24,https://m.media-amazon.com/images/M/MV5BZjc4NDZhZWMtNGEzYS00ZWU2LThlM2ItNTA0YzQ0OTExMTE2XkEyXkFqcGdeQXVyNjUwMzI2NzU@.jpg,It's a Wonderful Life,8.6,1946,352057,Frank Capra,"['James Stewart', 'Donna Reed']"
25,https://m.media-amazon.com/images/M/MV5BYmJmM2Q4NmMtYThmNC00ZjRlLWEyZmItZTIwOTBlZDQ3NTQ1XkEyXkFqcGdeQXVyMTQxNzMzNDI@.jpg,Life Is Beautiful,8.6,1997,543849,Roberto Benigni,"['Roberto Benigni', 'Nicoletta Braschi']"
26,https://m.media-amazon.com/images/M/MV5BOGJjNzZmMmUtMjljNC00ZjU5LWJiODQtZmEzZTU0MjBlNzgxL2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@.jpg,Spirited Away,8.5,2001,547874,Hayao Miyazaki,"['Daveigh Chase', 'Suzanne Pleshette']"
27,https://m.media-amazon.com/images/M/MV5BZjhkMDM4MWItZTVjOC00ZDRhLThmYTAtM2I5NzBmNmNlMzI1XkEyXkFqcGdeQXVyNDYyMDk5MTU@.jpg,Saving Private Ryan,8.5,1998,1093625,Steven Spielberg,"['Tom Hanks', 'Matt Damon']"
28,https://m.media-amazon.com/images/M/MV5BYTViNjMyNmUtNDFkNC00ZDRlLThmMDUtZDU2YWE4NGI2ZjVmXkEyXkFqcGdeQXVyNjU0OTQ0OTY@.jpg,The Usual Suspects,8.5,1995,895804,Bryan Singer,"['Kevin Spacey', 'Gabriel Byrne']"
29,https://m.media-amazon.com/images/M/MV5BZDAwYTlhMDEtNTg0OS00NDY2LWJjOWItNWY3YTZkM2UxYzUzXkEyXkFqcGdeQXVyNTA4NzY1MzY@.jpg,Léon: The Professional,8.5,1994,911032,Luc Besson,"['Jean Reno', 'Gary Oldman']"
30,https://m.media-amazon.com/images/M/MV5BMTUxMzQyNjA5MF5BMl5BanBnXkFtZTYwOTU2NTY3.jpg,The Green Mile,8.5,1999,998157,Frank Darabont,"['Tom Hanks', 'Michael Clarke Duncan']"
31,https://m.media-amazon.com/images/M/MV5BZjdkOTU3MDktN2IxOS00OGEyLWFmMjktY2FiMmZkNWIyODZiXkEyXkFqcGdeQXVyMTMxODk2OTU@.jpg,Interstellar,8.5,2014,1272794,Christopher Nolan,"['Matthew McConaughey', 'Anne Hathaway']"
32,https://m.media-amazon.com/images/M/MV5BNTQwNDM1YzItNDAxZC00NWY2LTk0M2UtNDIwNWI5OGUyNWUxXkEyXkFqcGdeQXVyNzkwMjQ5NzM@.jpg,Psycho,8.5,1960,529463,Alfred Hitchcock,"['Anthony Perkins', 'Janet Leigh']"
33,https://m.media-amazon.com/images/M/MV5BZjA0MTM4MTQtNzY5MC00NzY3LWI1ZTgtYzcxMjkyMzU4MDZiXkEyXkFqcGdeQXVyNDYyMDk5MTU@.jpg,American History X,8.5,1998,940116,Tony Kaye,"['Edward Norton', 'Edward Furlong']"
34,https://m.media-amazon.com/images/M/MV5BY2I4MmM1N2EtM2YzOS00OWUzLTkzYzctNDc5NDg2N2IyODJmXkEyXkFqcGdeQXVyNzkwMjQ5NzM@.jpg,City Lights,8.5,1931,143939,Charles Chaplin,"['Charles Chaplin', 'Virginia Cherrill']"
35,https://m.media-amazon.com/images/M/MV5BY2IzZGY2YmEtYzljNS00NTM5LTgwMzUtMzM1NjQ4NGI0OTk0XkEyXkFqcGdeQXVyNDYyMDk5MTU@.jpg,Casablanca,8.5,1942,470274,Michael Curtiz,"['Humphrey Bogart', 'Ingrid Bergman']"
36,https://m.media-amazon.com/images/M/MV5BZGI5MjBmYzYtMzJhZi00NGI1LTk3MzItYjBjMzcxM2U3MDdiXkEyXkFqcGdeQXVyNzkwMjQ5NzM@.jpg,Once Upon a Time in the West,8.5,1968,267559,Sergio Leone,"['Henry Fonda', 'Charles Bronson']"
37,https://m.media-amazon.com/images/M/MV5BOWRiZDIxZjktMTA1NC00MDQ2LWEzMjUtMTliZmY3NjQ3ODJiXkEyXkFqcGdeQXVyNjU0OTQ0OTY@.jpg,The Pianist,8.5,2002,631836,Roman Polanski,"['Adrien Brody', 'Thomas Kretschmann']"
38,https://m.media-amazon.com/images/M/MV5BYjJiZjMzYzktNjU0NS00OTkxLWEwYzItYzdhYWJjN2QzMTRlL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@.jpg,Modern Times,8.5,1936,186783,Charles Chaplin,"['Charles Chaplin', 'Paulette Goddard']"
39,https://m.media-amazon.com/images/M/MV5BMTYxNDA3MDQwNl5BMl5BanBnXkFtZTcwNTU4Mzc1Nw@@.jpg,The Intouchables,8.5,2011,664466,Olivier Nakache,"['ois Cluzet', 'Omar Sy']"
40,https://m.media-amazon.com/images/M/MV5BMTI1MTY2OTIxNV5BMl5BanBnXkFtZTYwNjQ4NjY3.jpg,The Departed,8.5,2006,1061963,Martin Scorsese,"['Leonardo DiCaprio', 'Matt Damon']"
41,https://m.media-amazon.com/images/M/MV5BZmU0M2Y1OGUtZjIxNi00ZjBkLTg1MjgtOWIyNThiZWIwYjRiXkEyXkFqcGdeQXVyMTQxNzMzNDI@.jpg,Back to the Future,8.5,1985,920725,Robert Zemeckis,"['Michael J. Fox', 'Christopher Lloyd']"
42,https://m.media-amazon.com/images/M/MV5BMGU2NzRmZjUtOGUxYS00ZjdjLWEwZWItY2NlM2JhNjkxNTFmXkEyXkFqcGdeQXVyNjU0OTQ0OTY@.jpg,Terminator 2: Judgment Day,8.5,1991,895769,James Cameron,"['Arnold Schwarzenegger', 'Linda Hamilton']"
43,https://m.media-amazon.com/images/M/MV5BOTA5NDZlZGUtMjAxOS00YTRkLTkwYmMtYWQ0NWEwZDZiNjEzXkEyXkFqcGdeQXVyMTMxODk2OTU@.jpg,Whiplash,8.5,2014,603339,Damien Chazelle,"['Miles Teller', 'K. Simmons']"
44,https://m.media-amazon.com/images/M/MV5BNGUxYWM3M2MtMGM3Mi00ZmRiLWE0NGQtZjE5ODI2OTJhNTU0XkEyXkFqcGdeQXVyMTQxNzMzNDI@.jpg,Rear Window,8.5,1954,393244,Alfred Hitchcock,"['James Stewart', 'Grace Kelly']"
45,https://m.media-amazon.com/images/M/MV5BYTYxNGMyZTYtMjE3MS00MzNjLWFjNmYtMDk3N2FmM2JiM2M1XkEyXkFqcGdeQXVyNjY5NDU4NzI@.jpg,The Lion King,8.5,1994,821024,Roger Allers,"['Matthew Broderick', 'Jeremy Irons']"
46,https://m.media-amazon.com/images/M/MV5BMjMwNDkxMTgzOF5BMl5BanBnXkFtZTgwNTkwNTQ3NjM@.jpg,Spider-Man: Into the Spider-Verse,8.5,2018,162337,Bob Persichetti,"['Shameik Moore', 'Jake Johnson']"
47,https://m.media-amazon.com/images/M/MV5BMjA0ODEzMTc1Nl5BMl5BanBnXkFtZTcwODM2MjAxNA@@.jpg,Raiders of the Lost Ark,8.5,1981,801331,Steven Spielberg,"['Harrison Ford', 'Karen Allen']"
48,https://m.media-amazon.com/images/M/MV5BMDliMmNhNDEtODUyOS00MjNlLTgxODEtN2U3NzIxMGVkZTA1L2ltYWdlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@.jpg,Gladiator,8.5,2000,1195682,Ridley Scott,"['Russell Crowe', 'Joaquin Phoenix']"
49,https://m.media-amazon.com/images/M/MV5BMjA4NDI0MTIxNF5BMl5BanBnXkFtZTYwNTM0MzY2.jpg,The Prestige,8.5,2006,1050664,Christopher Nolan,"['Christian Bale', 'Hugh Jackman']"
